post,sentiment,url,published_date,published_time,price_btc
Family offices show stronger preference for Ethereum ETFs over Bitcoin,neutral,https://cryptopanic.com/news/21115646/Family-offices-show-stronger-preference-for-Ethereum-ETFs-over-Bitcoin?mtm_campaign=API-OFA,16/04/2025,21:30:10,84030.38
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,84030.38
"MicroStrategy Acquires 3,459 Bitcoins for $285.8 Million, Total Holdings Reach 531,644 BTC",neutral,https://cryptopanic.com/news/21072568/MicroStrategy-Acquires-3459-Bitcoins-for-2858-Million-Total-Holdings-Reach-531644-BTC?mtm_campaign=API-OFA,14/04/2025,14:30:40,84591.58
Saylor signals new Bitcoin buy after Strategy reports nearly $6 billion Q1 unrealized loss,positive,https://cryptopanic.com/news/21056879/Saylor-signals-new-Bitcoin-buy-after-Strategy-reports-nearly-6-billion-Q1-unrealized-loss?mtm_campaign=API-OFA,13/04/2025,14:44:50,83760
Sweden: proposal to include Bitcoin in national reserves,neutral,https://cryptopanic.com/news/21035441/Sweden-proposal-to-include-Bitcoin-in-national-reserves?mtm_campaign=API-OFA,11/04/2025,15:18:14,83423.84
"Crypto Market Rises Sharply, but Experts Warn it May Be a ‘Dead Cat Bounce’",negative,https://cryptopanic.com/news/21019505/Crypto-Market-Rises-Sharply-but-Experts-Warn-it-May-Be-a-Dead-Cat-Bounce?mtm_campaign=API-OFA,10/04/2025,15:12:43,79607.3
"Charles Hoskinson sees Bitcoin hitting $250K as Big Tech embraces crypto, Fed cut rates, and regulation kicks in",neutral,https://cryptopanic.com/news/21016624/Charles-Hoskinson-sees-Bitcoin-hitting-250K-as-Big-Tech-embraces-crypto-Fed-cut-rates-and-regulation-kicks-in?mtm_campaign=API-OFA,10/04/2025,13:03:47,79607.3
Bitcoin $100K target ‘back on table’ after Trump tariff pause supercharges market sentiment,neutral,https://cryptopanic.com/news/21001821/Bitcoin-100K-target-back-on-table-after-Trump-tariff-pause-supercharges-market-sentiment?mtm_campaign=API-OFA,09/04/2025,20:30:00,82615.22
China and Russia are using Bitcoin to settle energy trades,neutral,https://cryptopanic.com/news/20998629/China-and-Russia-are-using-Bitcoin-to-settle-energy-trades?mtm_campaign=API-OFA,09/04/2025,17:07:50,82615.22
$120 Billion VanEck Confirms China and Russia Use Bitcoin for Energy Trades Amid Sanctions,neutral,https://cryptopanic.com/news/20997944/120-Billion-VanEck-Confirms-China-and-Russia-Use-Bitcoin-for-Energy-Trades-Amid-Sanctions?mtm_campaign=API-OFA,09/04/2025,16:30:40,82615.22
ETH/BTC Somehow Keeps Plunging Even Lower,neutral,https://cryptopanic.com/news/20974969/ETHBTC-Somehow-Keeps-Plunging-Even-Lower?mtm_campaign=API-OFA,08/04/2025,20:48:08,76322.42
"Bitcoin shows signs of decoupling from US equities, could reclaim $100K",neutral,https://cryptopanic.com/news/20931625/Bitcoin-shows-signs-of-decoupling-from-US-equities-could-reclaim-100K?mtm_campaign=API-OFA,05/04/2025,6:10:10,83537.99
Analyst Benjamin Cowen warns Ethereum could drop another 50%,neutral,https://cryptopanic.com/news/20911309/Analyst-Benjamin-Cowen-warns-Ethereum-could-drop-another-50?mtm_campaign=API-OFA,02/04/2025,15:27:44,82516.29
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,01/04/2025,21:06:07,85158.34
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,01/04/2025,13:05:07,85158.34
U.S. Senator Buys $600K in Bitcoin via ETF,neutral,https://cryptopanic.com/news/20900725/US-Senator-Buys-600K-in-Bitcoin-via-ETF?mtm_campaign=API-OFA,31/03/2025,19:59:40,82550.01
Ethereum-Bitcoin Ratio Drops To Five-Year Low,neutral,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,31/03/2025,15:04:17,82550.01
"Strategy announces another purchase of 22,048 BTC",neutral,https://cryptopanic.com/news/20899127/Strategy-announces-another-purchase-of-22048-BTC?mtm_campaign=API-OFA,31/03/2025,13:51:49,82550.01
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,31/03/2025,10:35:49,82550.01
