post,sentiment,url,published_date,published_time,price_btc,confidence,sentiment_label,sentiment_score
US government transfers $1.9 billion in Bitcoin to Coinbase,Neutral,https://cryptopanic.com/news/20355140/US-government-transfers-19-billion-in-Bitcoin-to-Coinbase?mtm_campaign=API-OFA,2/12/2024,17:13:01,95840.62,0.999985218,Neutral,0.895697474
"Massive ETH Whale Makes Shocking U-Turn, Dumps 14,240 ETH as BTC Skyrockets",Neutral,https://cryptopanic.com/news/20174968/Massive-ETH-Whale-Makes-Shocking-U-Turn-Dumps-14240-ETH-as-BTC-Skyrockets?mtm_campaign=API-OFA,6/11/2024,13:08:00,75571.99,0.999942899,Neutral,0.60618633
Ether traders eye more downside amid ETH/BTC tapping 'new multi-year lows',Negative,https://cryptopanic.com/news/20170801/Ether-traders-eye-more-downside-amid-ETHBTC-tapping-new-multi-year-lows?mtm_campaign=API-OFA,6/11/2024,2:54:03,75571.99,0.685277343,Neutral,0.92492485
Ethereum 'dying a slow death' as ETH breaks 8-year trend vs. Bitcoin,Neutral,https://cryptopanic.com/news/20252624/Ethereum-dying-a-slow-death-as-ETH-breaks-8-year-trend-vs-Bitcoin?mtm_campaign=API-OFA,11/16/2024,13:32:27,90586.92,0.921148539,Neutral,0.900139213
'More brutal than expected' — Lyn Alden on ETH/BTC post-election low,Negative,https://cryptopanic.com/news/20255343/More-brutal-than-expected-Lyn-Alden-on-ETHBTC-post-election-low?mtm_campaign=API-OFA,11/17/2024,6:25:26,89855.99,0.999908805,Bearish,0.643760443
"Ethereum-to-bitcoin ratio plummets to three-year low as BTC approaches $100,000",Neutral,https://cryptopanic.com/news/20306347/Ethereum-to-bitcoin-ratio-plummets-to-three-year-low-as-BTC-approaches-100000?mtm_campaign=API-OFA,11/23/2024,19:39:56,97672.4,0.999113619,Neutral,0.849250615
Cardano Fans Skeptical After BitcoinOS Token Reveal,Negative,https://cryptopanic.com/news/20327633/Cardano-Fans-Skeptical-After-BitcoinOS-Token-Reveal?mtm_campaign=API-OFA,11/26/2024,18:35:00,91965.16,0.999897122,Neutral,0.541928053
Selling ETH for BTC: Leading Chinese Gaming Firm Converts,Neutral,https://cryptopanic.com/news/20347175/Selling-ETH-for-BTC-Leading-Chinese-Gaming-Firm-Converts?mtm_campaign=API-OFA,11/29/2024,23:45:51,97460,0.999404311,Neutral,0.516665578
"XRP Has Most Bullish-Looking Chart in Entire Crypto Space, According to Analyst – Here’s Why",Neutral,https://cryptopanic.com/news/20474134/XRP-Has-Most-Bullish-Looking-Chart-in-Entire-Crypto-Space-According-to-Analyst-Heres-Why?mtm_campaign=API-OFA,12/26/2024,10:15:12,95791.6,0.701867461,Bullish,0.517361641
Satoshi Nakamoto’s First Bitcoin Website Revealed From Past: Details,Neutral,https://cryptopanic.com/news/20636080/Satoshi-Nakamotos-First-Bitcoin-Website-Revealed-From-Past-Details?mtm_campaign=API-OFA,1/2/2025,14:10:00,100635.65,0.999994993,Bullish,0.585644126
Satoshi Nakamoto’s First Bitcoin Website Revealed From Past: Details,Neutral,https://cryptopanic.com/news/20636080/Satoshi-Nakamotos-First-Bitcoin-Website-Revealed-From-Past-Details?mtm_campaign=API-OFA,1/2/2025,14:10:00,104017,0.999994993,Bullish,0.585644126
Satoshi Nakamoto’s First Bitcoin Website Revealed From Past: Details,Neutral,https://cryptopanic.com/news/20636080/Satoshi-Nakamotos-First-Bitcoin-Website-Revealed-From-Past-Details?mtm_campaign=API-OFA,1/2/2025,14:10:00,104021,0.999994993,Bullish,0.585644126
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,Neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,1/4/2025,21:06:07,85158.34,0.999976516,Neutral,0.519138634
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,Neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,1/4/2025,13:05:07,85158.34,0.999947548,Neutral,0.537018359
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,Neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,1/4/2025,21:06:07,85158.34,0.999976516,Neutral,0.519138634
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,1/4/2025,19:23:16,85158.34,0.999998808,Neutral,0.811707318
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,Neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,1/4/2025,13:05:07,85158.34,0.999947548,Neutral,0.537018359
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,Neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,1/4/2025,21:06:07,85158.34,0.999976516,Neutral,0.519138634
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,1/4/2025,19:23:16,85158.34,0.999998808,Neutral,0.811707318
"Grayscale files S-3 to turn Bitcoin, Ether, XRP, and ADA large cap fund into a spot ETF",Neutral,https://cryptopanic.com/news/20904739/Grayscale-files-S-3-to-turn-Bitcoin-Ether-XRP-and-ADA-large-cap-fund-into-a-spot-ETF?mtm_campaign=API-OFA,1/4/2025,14:56:04,85158.34,0.999996424,Neutral,0.801192641
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,Neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,1/4/2025,13:05:07,85158.34,0.999947548,Neutral,0.537018359
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,1/4/2025,19:23:16,85158.34,0.999998808,Neutral,0.811707318
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,Neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,1/4/2025,21:06:07,103997,0.999976516,Neutral,0.519138634
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,1/4/2025,19:23:16,103997,0.999998808,Neutral,0.811707318
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,Neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,1/4/2025,13:05:07,103997,0.999947548,Neutral,0.537018359
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,1/4/2025,19:23:16,103988,0.999998808,Neutral,0.811707318
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,Neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,1/4/2025,21:06:07,103945,0.999976516,Neutral,0.519138634
Mastercard Plans to Enable 3.5 Billion Cardholders to Transact with Bitcoin ($BTC) and Crypto,Neutral,https://cryptopanic.com/news/20904044/Mastercard-Plans-to-Enable-35-Billion-Cardholders-to-Transact-with-Bitcoin-BTC-and-Crypto?mtm_campaign=API-OFA,1/4/2025,13:05:07,103945,0.999947548,Neutral,0.537018359
