Date,BTC_Price
16/04/2025,84030.38
16/04/2025,84030.38
14/04/2025,84591.58
13/04/2025,83760.0
11/04/2025,83423.84
10/04/2025,79607.3
10/04/2025,79607.3
09/04/2025,82615.22
09/04/2025,82615.22
09/04/2025,82615.22
08/04/2025,76322.42
05/04/2025,83537.99
02/04/2025,82516.29
01/04/2025,85158.34
01/04/2025,85158.34
31/03/2025,82550.01
31/03/2025,82550.01
31/03/2025,82550.01
31/03/2025,82550.01
31/03/2025,82550.01
30/03/2025,82389.99
27/03/2025,87232.01
26/03/2025,86909.17
23/03/2025,86082.5
23/03/2025,86082.5
22/03/2025,83840.59
20/03/2025,84223.39
20/03/2025,84223.39
19/03/2025,86845.94
18/03/2025,82715.03
18/03/2025,82715.03
17/03/2025,84010.03
17/03/2025,84010.03
16/03/2025,82574.53
13/03/2025,81115.78
07/03/2025,86801.75
07/03/2025,86801.75
05/03/2025,90606.01
05/03/2025,90606.01
04/03/2025,87281.98
03/03/2025,86220.61
02/03/2025,94270.0
02/03/2025,94270.0
02/03/2025,94270.0
02/03/2025,94270.0
02/03/2025,94270.0
02/03/2025,94270.0
02/03/2025,94270.0
28/02/2025,84349.94
28/02/2025,84349.94
27/02/2025,84708.58
25/02/2025,88680.4
25/02/2025,88680.4
19/02/2025,96644.37
19/02/2025,96644.37
17/02/2025,95780.0
17/02/2025,95780.0
17/02/2025,95780.0
17/02/2025,95780.0
15/02/2025,97569.66
17/04/2025,84947.91
16/04/2025,84030.38
14/04/2025,84591.58
13/04/2025,83760.0
11/04/2025,83423.84
11/04/2025,83423.84
10/04/2025,79607.3
09/04/2025,82615.22
09/04/2025,82615.22
08/04/2025,76322.42
07/04/2025,79163.24
05/04/2025,83537.99
04/04/2025,83889.87
03/04/2025,83213.09
03/04/2025,83213.09
03/04/2025,83213.09
02/04/2025,82516.29
01/04/2025,85158.34
01/04/2025,85158.34
01/04/2025,85158.34
31/03/2025,82550.01
31/03/2025,82550.01
31/03/2025,82550.01
31/03/2025,82550.01
31/03/2025,82550.01
30/03/2025,82389.99
28/03/2025,84424.38
28/03/2025,84424.38
27/03/2025,87232.01
26/03/2025,86909.17
23/03/2025,86082.5
23/03/2025,86082.5
22/03/2025,83840.59
20/03/2025,84223.39
20/03/2025,84223.39
20/03/2025,84223.39
18/03/2025,82715.03
18/03/2025,82715.03
18/03/2025,82715.03
18/03/2025,82715.03
18/03/2025,82715.03
17/03/2025,84010.03
17/03/2025,84010.03
16/03/2025,82574.53
13/03/2025,81115.78
12/03/2025,83680.12
11/03/2025,82932.99
08/03/2025,86222.45
07/03/2025,86801.75
