published_date,price_btc
2024-12-02,95840.62
2024-12-26,95791.6
2025-01-04,98220.5
2025-01-05,98363.61
2025-01-07,96954.61
2025-01-08,95060.61
2025-01-13,94536.1
2025-01-14,96560.86
2025-01-16,99987.3
2025-01-17,104077.48
2025-01-18,104556.23
2025-01-20,102260.01
2025-01-21,106143.82
2025-01-22,103706.66
2025-01-23,103910.34
2025-01-24,104870.5
2025-01-26,102620.0
2025-01-28,101335.52
2025-01-29,103733.24
2025-01-30,104722.94
2025-01-31,102429.56
2025-02-01,100635.65
2025-02-03,101328.52
2025-02-04,97763.13
2025-02-05,96612.43
2025-02-06,96554.35000000002
2025-02-08,96444.74
2025-02-10,97430.82
2025-02-11,95778.2
2025-02-13,96608.14
2025-02-14,97500.48
2025-02-15,97569.66
2025-02-17,95780.0
2025-02-19,96644.37
2025-02-20,98305.0
2025-02-21,96181.98
2025-02-25,88680.4
2025-02-26,84250.09
2025-02-27,84708.58
2025-02-28,84349.94
2025-03-02,94270.0
2025-03-03,86220.61
2025-03-04,87281.98
2025-03-05,90606.01
2025-03-07,86801.75
2025-03-08,86222.45
2025-03-09,80734.37
2025-03-11,82932.99
2025-03-12,83680.12
2025-03-13,81115.78
2025-03-16,82574.53
2025-03-17,84010.03
2025-03-18,82715.03
2025-03-19,86845.94
2025-03-20,84223.39
2025-03-22,83840.59
2025-03-23,86082.5
2025-03-26,86909.17
2025-03-27,87232.01
2025-03-28,84424.38
2025-03-30,82389.99
2025-03-31,82550.01
2025-04-01,85158.34
2025-04-02,82516.29
2025-04-03,83213.09
2025-04-04,83889.87
2025-04-05,83537.99
2025-04-06,78430.0
2025-04-07,79163.24
2025-04-08,76322.42
2025-04-09,82615.22
2025-04-10,79607.3
2025-04-11,83423.84
2025-04-13,83760.0
2025-04-14,84591.58
2025-04-16,84030.38
2025-04-17,84947.91
2025-04-19,85077.01
