post,sentiment,url,published_date,published_time,price_btc,compound
Family offices show stronger preference for Ethereum ETFs over Bitcoin,neutral,https://cryptopanic.com/news/21115646/Family-offices-show-stronger-preference-for-Ethereum-ETFs-over-Bitcoin?mtm_campaign=API-OFA,16/04/2025,21:30:10,84030.38,0.3818
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,84030.38,0.0
"MicroStrategy Acquires 3,459 Bitcoins for $285.8 Million, Total Holdings Reach 531,644 BTC",neutral,https://cryptopanic.com/news/21072568/MicroStrategy-Acquires-3459-Bitcoins-for-2858-Million-Total-Holdings-Reach-531644-BTC?mtm_campaign=API-OFA,14/04/2025,14:30:40,84591.58,0.0258
Saylor signals new Bitcoin buy after Strategy reports nearly $6 billion Q1 unrealized loss,positive,https://cryptopanic.com/news/21056879/Saylor-signals-new-Bitcoin-buy-after-Strategy-reports-nearly-6-billion-Q1-unrealized-loss?mtm_campaign=API-OFA,13/04/2025,14:44:50,83760.0,-0.3182
Sweden: proposal to include Bitcoin in national reserves,neutral,https://cryptopanic.com/news/21035441/Sweden-proposal-to-include-Bitcoin-in-national-reserves?mtm_campaign=API-OFA,11/04/2025,15:18:14,83423.84,0.0
"Crypto Market Rises Sharply, but Experts Warn it May Be a ‘Dead Cat Bounce’",negative,https://cryptopanic.com/news/21019505/Crypto-Market-Rises-Sharply-but-Experts-Warn-it-May-Be-a-Dead-Cat-Bounce?mtm_campaign=API-OFA,10/04/2025,15:12:43,79607.3,-0.1531
"Charles Hoskinson sees Bitcoin hitting $250K as Big Tech embraces crypto, Fed cut rates, and regulation kicks in",neutral,https://cryptopanic.com/news/21016624/Charles-Hoskinson-sees-Bitcoin-hitting-250K-as-Big-Tech-embraces-crypto-Fed-cut-rates-and-regulation-kicks-in?mtm_campaign=API-OFA,10/04/2025,13:03:47,79607.3,-0.2732
Bitcoin $100K target ‘back on table’ after Trump tariff pause supercharges market sentiment,neutral,https://cryptopanic.com/news/21001821/Bitcoin-100K-target-back-on-table-after-Trump-tariff-pause-supercharges-market-sentiment?mtm_campaign=API-OFA,09/04/2025,20:30:00,82615.22,0.0
China and Russia are using Bitcoin to settle energy trades,neutral,https://cryptopanic.com/news/20998629/China-and-Russia-are-using-Bitcoin-to-settle-energy-trades?mtm_campaign=API-OFA,09/04/2025,17:07:50,82615.22,0.2732
$120 Billion VanEck Confirms China and Russia Use Bitcoin for Energy Trades Amid Sanctions,neutral,https://cryptopanic.com/news/20997944/120-Billion-VanEck-Confirms-China-and-Russia-Use-Bitcoin-for-Energy-Trades-Amid-Sanctions?mtm_campaign=API-OFA,09/04/2025,16:30:40,82615.22,0.2732
ETH/BTC Somehow Keeps Plunging Even Lower,neutral,https://cryptopanic.com/news/20974969/ETHBTC-Somehow-Keeps-Plunging-Even-Lower?mtm_campaign=API-OFA,08/04/2025,20:48:08,76322.42,-0.296
"Bitcoin shows signs of decoupling from US equities, could reclaim $100K",neutral,https://cryptopanic.com/news/20931625/Bitcoin-shows-signs-of-decoupling-from-US-equities-could-reclaim-100K?mtm_campaign=API-OFA,05/04/2025,6:10:10,83537.99,0.0
Analyst Benjamin Cowen warns Ethereum could drop another 50%,neutral,https://cryptopanic.com/news/20911309/Analyst-Benjamin-Cowen-warns-Ethereum-could-drop-another-50?mtm_campaign=API-OFA,02/04/2025,15:27:44,82516.29,-0.3612
GameStop Completes $1.5 Billion Offering to Fund Bitcoin Reserve,neutral,https://cryptopanic.com/news/20906206/GameStop-Completes-15-Billion-Offering-to-Fund-Bitcoin-Reserve?mtm_campaign=API-OFA,01/04/2025,21:06:07,85158.34,0.0
