post,sentiment,url,published_date,published_time,price_eth,compound
Family offices show stronger preference for Ethereum ETFs over Bitcoin,neutral,https://cryptopanic.com/news/21115646/Family-offices-show-stronger-preference-for-Ethereum-ETFs-over-Bitcoin?mtm_campaign=API-OFA,16/04/2025,21:30:10,1577.14,0.3818
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,1577.14,0.0
Canada to approve SOL ETFs with staking functions as SEC postpones staking function for Grayscale spot ETH ETF,neutral,https://cryptopanic.com/news/21076936/Canada-to-approve-SOL-ETFs-with-staking-functions-as-SEC-postpones-staking-function-for-Grayscale-spot-ETH-ETF?mtm_campaign=API-OFA,14/04/2025,19:42:01,1623.77,-0.2732
Vitalik Buterin Says “Good Social Philosophy” is Needed for the Upper Layers of Ethereum,positive,https://cryptopanic.com/news/21072124/Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum?mtm_campaign=API-OFA,14/04/2025,14:07:43,1623.77,0.0
"On-Chain Indicator Suggests Ethereum (ETH) Could Be Undervalued, According to Crypto Analyst",neutral,https://cryptopanic.com/news/21050521/On-Chain-Indicator-Suggests-Ethereum-ETH-Could-Be-Undervalued-According-to-Crypto-Analyst?mtm_campaign=API-OFA,12/04/2025,20:00:59,1644.18,0.0
Vitalik Buterin Unveils Roadmap for Improving Privacy on Ethereum,neutral,https://cryptopanic.com/news/21039672/Vitalik-Buterin-Unveils-Roadmap-for-Improving-Privacy-on-Ethereum?mtm_campaign=API-OFA,11/04/2025,20:48:57,1566.85,0.4215
"Crypto Market Rises Sharply, but Experts Warn it May Be a ‘Dead Cat Bounce’",negative,https://cryptopanic.com/news/21019505/Crypto-Market-Rises-Sharply-but-Experts-Warn-it-May-Be-a-Dead-Cat-Bounce?mtm_campaign=API-OFA,10/04/2025,15:12:43,1522.25,-0.1531
ETH/BTC Somehow Keeps Plunging Even Lower,neutral,https://cryptopanic.com/news/20974969/ETHBTC-Somehow-Keeps-Plunging-Even-Lower?mtm_campaign=API-OFA,08/04/2025,20:48:08,1473.41,-0.296
MegaETH: Supercharging Ethereum for the Real-Time Internet Era,neutral,https://cryptopanic.com/news/20957348/MegaETH-Supercharging-Ethereum-for-the-Real-Time-Internet-Era?mtm_campaign=API-OFA,08/04/2025,8:25:25,1473.41,0.0
ETH Drops to 2-Year Lows Amid Crypto Selloff,neutral,https://cryptopanic.com/news/20954761/ETH-Drops-to-2-Year-Lows-Amid-Crypto-Selloff?mtm_campaign=API-OFA,07/04/2025,18:57:00,1553.04,-0.2023
Ethereum Whales Scoop Up $60M as ETH Price Tumbles to 2023 Lows,neutral,https://cryptopanic.com/news/20952800/Ethereum-Whales-Scoop-Up-60M-as-ETH-Price-Tumbles-to-2023-Lows?mtm_campaign=API-OFA,07/04/2025,17:49:30,1553.04,-0.0516
‘Ethereum Has Long-Term Potential’: Why Experts Believe in ETH Price Recovery,neutral,https://cryptopanic.com/news/20925970/Ethereum-Has-Long-Term-Potential-Why-Experts-Believe-in-ETH-Price-Recovery?mtm_campaign=API-OFA,04/04/2025,13:56:53,1816.87,0.0
Ethereum developers aim for May 7 mainnet deployment of Pectra upgrade,neutral,https://cryptopanic.com/news/20921035/Ethereum-developers-aim-for-May-7-mainnet-deployment-of-Pectra-upgrade?mtm_campaign=API-OFA,04/04/2025,5:04:42,1816.87,0.0
"Ethereum whales accumulate 130,000 ETH amid price drop",neutral,https://cryptopanic.com/news/20917718/Ethereum-whales-accumulate-130000-ETH-amid-price-drop?mtm_campaign=API-OFA,03/04/2025,18:30:54,1817.23,-0.2732
Ethereum's Pectra Upgrade Set for May Following Technical Hurdles,neutral,https://cryptopanic.com/news/20917629/Ethereums-Pectra-Upgrade-Set-for-May-Following-Technical-Hurdles?mtm_campaign=API-OFA,03/04/2025,18:11:40,1817.23,0.0
"Ethereum price may have bottomed, but pro traders show little interest in buying ETH",negative,https://cryptopanic.com/news/20912712/Ethereum-price-may-have-bottomed-but-pro-traders-show-little-interest-in-buying-ETH?mtm_campaign=API-OFA,02/04/2025,21:15:00,1795.22,0.5515
Analyst Benjamin Cowen warns Ethereum could drop another 50%,neutral,https://cryptopanic.com/news/20911309/Analyst-Benjamin-Cowen-warns-Ethereum-could-drop-another-50?mtm_campaign=API-OFA,02/04/2025,15:27:44,1795.22,-0.3612
"Ethereum Surpasses Solana to Lead DEX Volume with $63 Billion in March 2025, Despite 8% Market Share and 18% Price Drop",neutral,https://cryptopanic.com/news/20906123/Ethereum-Surpasses-Solana-to-Lead-DEX-Volume-with-63-Billion-in-March-2025-Despite-8-Market-Share-and-18-Price-Drop?mtm_campaign=API-OFA,01/04/2025,20:35:07,1904.98,-0.4567
Data Proves Ethereum Is Still the #1 Altcoin to Own,positive,https://cryptopanic.com/news/20905475/Data-Proves-Ethereum-Is-Still-the-1-Altcoin-to-Own?mtm_campaign=API-OFA,01/04/2025,17:28:12,1904.98,0.0
Ethereum-Bitcoin Ratio Drops To Five-Year Low,neutral,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,31/03/2025,15:04:17,1822.43,-0.2732
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,31/03/2025,10:35:49,1822.43,0.0
Vitalik Buterin introduces multi-proof security model amid Ethereum volatility,neutral,https://cryptopanic.com/news/20896708/Vitalik-Buterin-introduces-multi-proof-security-model-amid-Ethereum-volatility?mtm_campaign=API-OFA,31/03/2025,2:40:43,1822.43,0.34
Ethereum’s Pectra Upgrade Moves Forward with Successful Hoodi Deployment,positive,https://cryptopanic.com/news/20883626/Ethereums-Pectra-Upgrade-Moves-Forward-with-Successful-Hoodi-Deployment?mtm_campaign=API-OFA,27/03/2025,14:39:18,2003.66,0.5859
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,neutral,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,27/03/2025,8:02:58,2003.66,0.4019
Ethereum edges closer to deploying Pectra on mainnet with successful upgrade on Hoodi testnet,positive,https://cryptopanic.com/news/20880416/Ethereum-edges-closer-to-deploying-Pectra-on-mainnet-with-successful-upgrade-on-Hoodi-testnet?mtm_campaign=API-OFA,27/03/2025,5:55:11,2003.66,0.5859
Ethereum Name Service Teams Up With Para Wallet to Simplify Registration,neutral,https://cryptopanic.com/news/20878377/Ethereum-Name-Service-Teams-Up-With-Para-Wallet-to-Simplify-Registration?mtm_campaign=API-OFA,26/03/2025,17:30:58,2009.52,0.0
Ethereum’s Final Pectra Test Goes Live on Hoodi Network,neutral,https://cryptopanic.com/news/20878331/Ethereums-Final-Pectra-Test-Goes-Live-on-Hoodi-Network?mtm_campaign=API-OFA,26/03/2025,17:23:33,2009.52,0.0
