post,sentiment,url,published_date,published_time,price_xrp,compound
"Crypto Market Rises Sharply, but Experts Warn it May Be a ‘Dead Cat Bounce’",negative,https://cryptopanic.com/news/21019505/Crypto-Market-Rises-Sharply-but-Experts-Warn-it-May-Be-a-Dead-Cat-Bounce?mtm_campaign=API-OFA,04/10/2025,15:12:43,1.9658,-0.1531
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,03/31/2025,10:35:49,2.0899,0.0
XRP ETF Incoming? Analyst Says Ripple’s Legal Win Changes Everything,positive,https://cryptopanic.com/news/20875440/XRP-ETF-Incoming-Analyst-Says-Ripples-Legal-Win-Changes-Everything?mtm_campaign=API-OFA,03/26/2025,7:53:52,2.3494,0.6486
Ripple Co-Founder Funds Space Station with XRP Profits,neutral,https://cryptopanic.com/news/20864705/Ripple-Co-Founder-Funds-Space-Station-with-XRP-Profits?mtm_campaign=API-OFA,03/24/2025,7:22:12,2.4501,0.4404
SEC website posts document naming XRP as a strategic asset for U.S.,neutral,https://cryptopanic.com/news/20825816/SEC-website-posts-document-naming-XRP-as-a-strategic-asset-for-US?mtm_campaign=API-OFA,03/14/2025,11:14:55,2.3564,0.3612
"SEC May Reclassify XRP as Commodity, Boosting Market Hopes",neutral,https://cryptopanic.com/news/20825054/SEC-May-Reclassify-XRP-as-Commodity-Boosting-Market-Hopes?mtm_campaign=API-OFA,03/14/2025,7:59:58,2.3564,0.6369
SEC considers classifying XRP as commodity in settlement talks with Ripple,neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,03/13/2025,17:53:17,2.2527,0.0
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/05/2025,12:10:39,2.4998,0.0
"XRP: 24% Retrace is Mind-Blowing, Ethereum (ETH) Looks Even Worse Than Before, Cardano (ADA): Biggest Volatility Surge in Years",negative,https://cryptopanic.com/news/20781362/XRP-24-Retrace-is-Mind-Blowing-Ethereum-ETH-Looks-Even-Worse-Than-Before-Cardano-ADA-Biggest-Volatility-Surge-in-Years?mtm_campaign=API-OFA,03/05/2025,0:01:00,2.4998,-0.4767
Cardano Rallies 43% In Seven Days: What Is Going On With ADA?,neutral,https://cryptopanic.com/news/20780686/Cardano-Rallies-43-In-Seven-Days-What-Is-Going-On-With-ADA?mtm_campaign=API-OFA,03/04/2025,20:03:51,2.4543,0.0
Why XRP and ADA don’t deserve to be on Trump’s Strategic Crypto Reserve,neutral,https://cryptopanic.com/news/20774538/Why-XRP-and-ADA-dont-deserve-to-be-on-Trumps-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,03/03/2025,18:14:25,2.3873,0.0
"Trump Announces US Crypto Reserve with XRP, Solana, and Cardano",neutral,https://cryptopanic.com/news/20771576/Trump-Announces-US-Crypto-Reserve-with-XRP-Solana-and-Cardano?mtm_campaign=API-OFA,03/03/2025,8:27:59,2.3873,0.0
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,03/02/2025,19:31:52,2.9396,0.0
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,03/02/2025,17:20:45,2.9396,-0.128
"Breaking: Trump Announces U.S. Crypto Strategic Reserve Including XRP, SOL, ADA, BTC, and ETH",neutral,https://cryptopanic.com/news/20769643/Breaking-Trump-Announces-US-Crypto-Strategic-Reserve-Including-XRP-SOL-ADA-BTC-and-ETH?mtm_campaign=API-OFA,03/02/2025,17:11:40,2.9396,0.0
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,16:46:55,2.9396,0.0
"President Trump announces a Crypto Strategic Reserve that includes XRP, SOL, and ADA",neutral,https://cryptopanic.com/news/20769419/President-Trump-announces-a-Crypto-Strategic-Reserve-that-includes-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/02/2025,16:01:45,2.9396,0.0
"Trump directs working group to ‘move forward’ on SOL, XRP, and ADA Crypto Strategic Reserve",neutral,https://cryptopanic.com/news/20769328/Trump-directs-working-group-to-move-forward-on-SOL-XRP-and-ADA-Crypto-Strategic-Reserve?mtm_campaign=API-OFA,03/02/2025,15:47:32,2.9396,0.0
"Trump to include XRP, SOL, and ADA in US crypto reserve",neutral,https://cryptopanic.com/news/20769299/Trump-to-include-XRP-SOL-and-ADA-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,15:34:02,2.9396,0.0
World’s first XRP spot ETF to debut on Brazil’s leading stock exchange,positive,https://cryptopanic.com/news/20719659/Worlds-first-XRP-spot-ETF-to-debut-on-Brazils-leading-stock-exchange?mtm_campaign=API-OFA,02/19/2025,17:28:08,2.7378,0.0
"Donald Trump turns pro-XRP, shares Ripple Labs reports on Truth Social",neutral,https://cryptopanic.com/news/20718580/Donald-Trump-turns-pro-XRP-shares-Ripple-Labs-reports-on-Truth-Social?mtm_campaign=API-OFA,02/19/2025,14:00:23,2.7378,0.5423
SEC Acknowledges Bitwise XRP ETF Filing—Approval Within Reach?,neutral,https://cryptopanic.com/news/20718471/SEC-Acknowledges-Bitwise-XRP-ETF-FilingApproval-Within-Reach?mtm_campaign=API-OFA,02/19/2025,13:49:10,2.7378,0.0258
"XRP Set To Outshine Gold? Analyst Predicts 1,000% Surge",neutral,https://cryptopanic.com/news/20709274/XRP-Set-To-Outshine-Gold-Analyst-Predicts-1000-Surge?mtm_campaign=API-OFA,02/17/2025,21:00:12,2.6599,0.0
"XRP Breaks Key Barrier, Surges Past 100-Day SMA And $2.7 Resistance",negative,https://cryptopanic.com/news/20702304/XRP-Breaks-Key-Barrier-Surges-Past-100-Day-SMA-And-27-Resistance?mtm_campaign=API-OFA,02/15/2025,21:30:08,2.7619,-0.128
XRP ETF Filed with Nasdaq as Ripple-CFTC Ties Strengthen,neutral,https://cryptopanic.com/news/20680535/XRP-ETF-Filed-with-Nasdaq-as-Ripple-CFTC-Ties-Strengthen?mtm_campaign=API-OFA,02/11/2025,12:03:46,2.4131,0.3182
"XRP Set for All-Time Highs if Weekly Close Tops This Level, Says Crypto Analyst",neutral,https://cryptopanic.com/news/20670542/XRP-Set-for-All-Time-Highs-if-Weekly-Close-Tops-This-Level-Says-Crypto-Analyst?mtm_campaign=API-OFA,02/09/2025,6:00:39,2.3928,0.5106
Sui Network to unlock millions of SUI this week – Should you be worried?,neutral,https://cryptopanic.com/news/20633173/Sui-Network-to-unlock-millions-of-SUI-this-week-Should-you-be-worried?mtm_campaign=API-OFA,01/31/2025,16:43:16,3.0361,-0.296
XRP Lawsuit News: Ripple CLO Says Case Will Be Withdrawn By SEC Under Atkins in 2025,neutral,https://cryptopanic.com/news/20621922/XRP-Lawsuit-News-Ripple-CLO-Says-Case-Will-Be-Withdrawn-By-SEC-Under-Atkins-in-2025?mtm_campaign=API-OFA,01/29/2025,15:38:29,3.0683,-0.2263
Ondo Finance brings tokenized US Treasury fund on Ripple’s XRP Ledger,neutral,https://cryptopanic.com/news/20616755/Ondo-Finance-brings-tokenized-US-Treasury-fund-on-Ripples-XRP-Ledger?mtm_campaign=API-OFA,01/28/2025,15:34:33,3.0572,0.2023
"XRP Lawsuit News: Deaton Says SEC Appeal Likely to Be Dismissed, Reveals What’s Next",neutral,https://cryptopanic.com/news/20581685/XRP-Lawsuit-News-Deaton-Says-SEC-Appeal-Likely-to-Be-Dismissed-Reveals-Whats-Next?mtm_campaign=API-OFA,01/21/2025,12:13:58,3.1738,-0.2263
XRP Chart Pattern Predicts Breakout to $4; What's Next?,neutral,https://cryptopanic.com/news/20571435/XRP-Chart-Pattern-Predicts-Breakout-to-4-Whats-Next?mtm_campaign=API-OFA,01/19/2025,9:50:00,2.9587,0.0
Trump Considers US-based Crypto Reserve,neutral,https://cryptopanic.com/news/20559663/Trump-Considers-US-based-Crypto-Reserve?mtm_campaign=API-OFA,01/16/2025,11:55:47,3.2451,0.0
XRP surged past $3 for the first time since 2018,neutral,https://cryptopanic.com/news/20555500/XRP-surged-past-3-for-the-first-time-since-2018?mtm_campaign=API-OFA,01/15/2025,18:26:06,3.1429,0.0
XRP Surges as Wider Crypto Market Remains Flat. Why is it Up Today?,neutral,https://cryptopanic.com/news/20553686/XRP-Surges-as-Wider-Crypto-Market-Remains-Flat-Why-is-it-Up-Today?mtm_campaign=API-OFA,01/15/2025,12:44:01,3.1429,0.0
"JPMorgan Chase Predicts XRP, Solana ETFs Will Attract up to $8,000,000,000 Each: Report",neutral,https://cryptopanic.com/news/20550095/JPMorgan-Chase-Predicts-XRP-Solana-ETFs-Will-Attract-up-to-8000000000-Each-Report?mtm_campaign=API-OFA,01/14/2025,19:05:24,2.6673,0.3612
Crypto ETFs to Boom in 2025: 50 Launches Predicted,neutral,https://cryptopanic.com/news/20541759/Crypto-ETFs-to-Boom-in-2025-50-Launches-Predicted?mtm_campaign=API-OFA,01/13/2025,8:41:14,2.5232,0.0
"XRP ‘just days’ away from all-time high breakout, according to analyst",positive,https://cryptopanic.com/news/20535998/XRP-just-days-away-from-all-time-high-breakout-according-to-analyst?mtm_campaign=API-OFA,01/11/2025,11:18:39,2.5764,0.0
XRP Forms First Bearish Signal of 2025: Details,positive,https://cryptopanic.com/news/20528075/XRP-Forms-First-Bearish-Signal-of-2025-Details?mtm_campaign=API-OFA,01/09/2025,15:58:00,2.2722,0.0
"U.S. DOJ Approved to Sell 69,370 Bitcoin, Sparking a Crypto Crash",neutral,https://cryptopanic.com/news/20525292/US-DOJ-Approved-to-Sell-69370-Bitcoin-Sparking-a-Crypto-Crash?mtm_campaign=API-OFA,01/09/2025,5:45:08,2.2722,0.0258
"XRP ETF likely to launch after Bitcoin and Ether ETFs, says Ripple President",neutral,https://cryptopanic.com/news/20522087/XRP-ETF-likely-to-launch-after-Bitcoin-and-Ether-ETFs-says-Ripple-President?mtm_campaign=API-OFA,01/08/2025,13:46:50,2.3731,0.0
XRP Investors Cash Out $1.6 Billion Amid Market Stagnation,neutral,https://cryptopanic.com/news/20520534/XRP-Investors-Cash-Out-16-Billion-Amid-Market-Stagnation?mtm_campaign=API-OFA,01/08/2025,8:34:08,2.3731,0.0
Cardano Price Witnesses Bullish Resurgence With 26% Rally — Here’s The Likely Catalyst,neutral,https://cryptopanic.com/news/20507062/Cardano-Price-Witnesses-Bullish-Resurgence-With-26-Rally-Heres-The-Likely-Catalyst?mtm_campaign=API-OFA,01/05/2025,8:00:00,2.3994,0.0
"XRP Trading Volume Soars in South Korea, Surpassing Bitcoin and Ethereum",neutral,https://cryptopanic.com/news/20494994/XRP-Trading-Volume-Soars-in-South-Korea-Surpassing-Bitcoin-and-Ethereum?mtm_campaign=API-OFA,01/01/2025,18:00:38,2.3328,0.0
Ripple's RLUSD Stablecoin Explodes With 106% Growth in Volumes: Details,neutral,https://cryptopanic.com/news/20482034/Ripples-RLUSD-Stablecoin-Explodes-With-106-Growth-in-Volumes-Details?mtm_campaign=API-OFA,12/28/2024,15:15:00,2.1843,0.3818
Ripple’s RLUSD Stablecoin to Commence Trading Today,neutral,https://cryptopanic.com/news/20418989/Ripples-RLUSD-Stablecoin-to-Commence-Trading-Today?mtm_campaign=API-OFA,12/17/2024,18:04:00,2.5673,0.0
Cardano founder Charles Hoskinson blasts Wyoming Token Commission boss over ADA and XRP exclusion,neutral,https://cryptopanic.com/news/20406889/Cardano-founder-Charles-Hoskinson-blasts-Wyoming-Token-Commission-boss-over-ADA-and-XRP-exclusion?mtm_campaign=API-OFA,12/14/2024,14:09:41,2.4005,-0.296
Ripple to sell $500 million as XRP struggles in the 4th position by market cap,neutral,https://cryptopanic.com/news/20398759/Ripple-to-sell-500-million-as-XRP-struggles-in-the-4th-position-by-market-cap?mtm_campaign=API-OFA,12/12/2024,14:49:07,2.3384,-0.3612
XRP News Today: Ripple’s RLUSD Stablecoin Gets NYDFS Approval,neutral,https://cryptopanic.com/news/20391062/XRP-News-Today-Ripples-RLUSD-Stablecoin-Gets-NYDFS-Approval?mtm_campaign=API-OFA,12/11/2024,4:15:26,2.3941,0.4767
SEC Weighs Solana and XRP ETFs: Altcoin Boom Ahead?,neutral,https://cryptopanic.com/news/20362778/SEC-Weighs-Solana-and-XRP-ETFs-Altcoin-Boom-Ahead?mtm_campaign=API-OFA,12/04/2024,9:15:42,2.3574,0.0
Ripple XRP’s Price On The Brink Of Unbelievable All-Time Highs As Leak Reveals Mammoth December Bombshell,negative,https://cryptopanic.com/news/20358054/Ripple-XRPs-Price-On-The-Brink-Of-Unbelievable-All-Time-Highs-As-Leak-Reveals-Mammoth-December-Bombshell?mtm_campaign=API-OFA,12/03/2024,10:02:05,2.5102,-0.1531
XRP Is Now About To Gain Massive Liquidity,neutral,https://cryptopanic.com/news/20355982/XRP-Is-Now-About-To-Gain-Massive-Liquidity?mtm_campaign=API-OFA,12/02/2024,21:30:09,2.7245,0.5267
"XRP Surges Another 45%, Crushing Recent Bitcoin and Dogecoin Gains",positive,https://cryptopanic.com/news/20354938/XRP-Surges-Another-45-Crushing-Recent-Bitcoin-and-Dogecoin-Gains?mtm_campaign=API-OFA,12/02/2024,16:13:59,2.7245,-0.0258
