post,sentiment,url,published_date,published_time,price_eth,confidence,sentiment_label,sentiment_score
MetaMask Launches Gasless Swaps Feature,Neutral,https://cryptopanic.com/news/20304328/MetaMask-Launches-Gasless-Swaps-Feature?mtm_campaign=API-OFA,11/23/2024,10:48:07,3393.91,0.997947514,Neutral,0.65273428
Solana Skyrockets: Spot ETF Filings Surge Amid Pro-Crypto Regulatory Shift!,Positive,https://cryptopanic.com/news/20308682/Solana-Skyrockets-Spot-ETF-Filings-Surge-Amid-Pro-Crypto-Regulatory-Shift?mtm_campaign=API-OFA,11/24/2024,11:00:54,3361.2,0.999999762,Bullish,0.656737387
Highly Anticipated Spot Solana ETFs Will Be Approved in 2025,Neutral,https://cryptopanic.com/news/20307549/Highly-Anticipated-Spot-Solana-ETFs-Will-Be-Approved-in-2025?mtm_campaign=API-OFA,11/24/2024,5:46:29,3361.2,0.998446405,Neutral,0.538872004
"Solana Achieves $110B DEX Volume in November, Outpacing Ethereum",Positive,https://cryptopanic.com/news/20316896/Solana-Achieves-110B-DEX-Volume-in-November-Outpacing-Ethereum?mtm_campaign=API-OFA,11/25/2024,15:04:22,3414.49,0.958711326,Bullish,0.672340393
Solana Hits $100B DEX Trading Milestone,Positive,https://cryptopanic.com/news/20322603/Solana-Hits-100B-DEX-Trading-Milestone?mtm_campaign=API-OFA,11/26/2024,8:52:43,3324.73,0.969694257,Bullish,0.588474631
"Solana Reports $4 Billion Inflows, Hits $240; Generates $2.33M in Royalties and $200M in Fees, Surpassing Ethereum",Positive,https://cryptopanic.com/news/20343227/Solana-Reports-4-Billion-Inflows-Hits-240-Generates-233M-in-Royalties-and-200M-in-Fees-Surpassing-Ethereum?mtm_campaign=API-OFA,11/28/2024,22:35:59,3578.79,0.976499379,Neutral,0.831089854
"Will Ether Breakthrough $4,000? Traders Remain Cautious",Negative,https://cryptopanic.com/news/20345878/Will-Ether-Breakthrough-4000-Traders-Remain-Cautious?mtm_campaign=API-OFA,11/29/2024,14:45:09,3592.21,0.99996841,Neutral,0.611186743
Ethereum Set for Major Gains as Strong Fundamentals and Institutional Interest Surge,Positive,https://cryptopanic.com/news/20369007/Ethereum-Set-for-Major-Gains-as-Strong-Fundamentals-and-Institutional-Interest-Surge?mtm_campaign=API-OFA,12/5/2024,12:00:47,3785.2,1,Bullish,0.587615073
Trump’s crypto czar is Solana bull and Multicoin Capital investor,Neutral,https://cryptopanic.com/news/20373570/Trumps-crypto-czar-is-Solana-bull-and-Multicoin-Capital-investor?mtm_campaign=API-OFA,12/6/2024,10:59:12,3998.87,0.999987721,Neutral,0.881336153
Bitcoin and Ethereum ETFs Break Records Amid Price Surges,Positive,https://cryptopanic.com/news/20382358/Bitcoin-and-Ethereum-ETFs-Break-Records-Amid-Price-Surges?mtm_campaign=API-OFA,12/9/2024,8:59:06,3712,0.999617815,Neutral,0.679623127
