Date,XRP_Price
10/04/2025,1.9658
31/03/2025,2.0899
26/03/2025,2.3494
24/03/2025,2.4501
14/03/2025,2.3564
14/03/2025,2.3564
13/03/2025,2.2527
05/03/2025,2.4998
05/03/2025,2.4998
04/03/2025,2.4543
03/03/2025,2.3873
03/03/2025,2.3873
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
19/02/2025,2.7378
19/02/2025,2.7378
19/02/2025,2.7378
17/02/2025,2.6599
15/02/2025,2.7619
11/02/2025,2.4131
09/02/2025,2.3928
31/01/2025,3.0361
29/01/2025,3.0683
28/01/2025,3.0572
21/01/2025,3.1738
19/01/2025,2.9587
16/01/2025,3.2451
15/01/2025,3.1429
15/01/2025,3.1429
14/01/2025,2.6673
13/01/2025,2.5232
11/01/2025,2.5764
09/01/2025,2.2722
09/01/2025,2.2722
08/01/2025,2.3731
08/01/2025,2.3731
05/01/2025,2.3994
01/01/2025,2.3328
28/12/2024,2.1843
17/12/2024,2.5673
14/12/2024,2.4005
12/12/2024,2.3384
11/12/2024,2.3941
04/12/2024,2.3574
03/12/2024,2.5102
02/12/2024,2.7245
02/12/2024,2.7245
02/12/2024,2.7245
02/12/2024,2.7245
01/12/2024,2.2937
01/12/2024,2.2937
01/12/2024,2.2937
30/11/2024,1.9513
30/11/2024,1.9513
30/11/2024,1.9513
08/04/2025,1.7963
04/04/2025,2.1302
02/04/2025,2.0237
01/04/2025,2.1387
26/03/2025,2.3494
25/03/2025,2.4492
23/03/2025,2.4393
20/03/2025,2.4361
18/03/2025,2.2851
16/03/2025,2.2938
14/03/2025,2.3564
14/03/2025,2.3564
14/03/2025,2.3564
14/03/2025,2.3564
14/03/2025,2.3564
13/03/2025,2.2527
13/03/2025,2.2527
09/03/2025,2.1387
05/03/2025,2.4998
05/03/2025,2.4998
04/03/2025,2.4543
03/03/2025,2.3873
03/03/2025,2.3873
03/03/2025,2.3873
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
28/02/2025,2.1453
26/02/2025,2.1982
26/02/2025,2.1982
21/02/2025,2.5721
20/02/2025,2.6877
20/02/2025,2.6877
19/02/2025,2.7378
19/02/2025,2.7378
19/02/2025,2.7378
19/02/2025,2.7378
18/02/2025,2.5628
17/02/2025,2.6599
15/02/2025,2.7619
15/02/2025,2.7619
14/02/2025,2.7384
14/02/2025,2.7384
14/02/2025,2.7384
14/02/2025,2.7384
13/02/2025,2.5599
12/02/2025,2.4734
11/02/2025,2.4131
09/02/2025,2.3928
08/02/2025,2.419
07/02/2025,2.3968
05/02/2025,2.381
05/02/2025,2.381
05/02/2025,2.381
05/02/2025,2.381
17/04/2025,2.0673
10/04/2025,1.9658
08/04/2025,1.7963
04/04/2025,2.1302
02/04/2025,2.0237
01/04/2025,2.1387
01/04/2025,2.1387
31/03/2025,2.0899
26/03/2025,2.3494
26/03/2025,2.3494
25/03/2025,2.4492
24/03/2025,2.4501
23/03/2025,2.4393
20/03/2025,2.4361
20/03/2025,2.4361
20/03/2025,2.4361
19/03/2025,2.5469
19/03/2025,2.5469
19/03/2025,2.5469
18/03/2025,2.2851
16/03/2025,2.2938
14/03/2025,2.3564
14/03/2025,2.3564
14/03/2025,2.3564
14/03/2025,2.3564
14/03/2025,2.3564
13/03/2025,2.2527
13/03/2025,2.2527
13/03/2025,2.2527
12/03/2025,2.2396
09/03/2025,2.1387
05/03/2025,2.4998
05/03/2025,2.4998
04/03/2025,2.4543
03/03/2025,2.3873
03/03/2025,2.3873
03/03/2025,2.3873
03/03/2025,2.3873
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
02/03/2025,2.9396
28/02/2025,2.1453
27/02/2025,2.1985
26/02/2025,2.1982
26/02/2025,2.1982
23/02/2025,2.5763
21/02/2025,2.5721
20/02/2025,2.6877
20/02/2025,2.6877
19/02/2025,2.7378
19/02/2025,2.7378
19/02/2025,2.7378
