post,sentiment,url,published_date,published_time,price_xrp,confidence,sentiment_label,sentiment_score
"XRP and SOL Retrace Hard, While BTC Price Dropped to 2-Week Lows (Market Watch)",Negative,https://cryptopanic.com/news/19748452/XRP-and-SOL-Retrace-Hard-While-BTC-Price-Dropped-to-2-Week-Lows-Market-Watch?mtm_campaign=API-OFA,1/8/2024,8:43:17,0.5964,0.99994278,Neutral,0.569958508
Cardano’s Hoskinson Calls for Crypto Unity Against Operation Chokepoint 2.0,Neutral,https://cryptopanic.com/news/20351332/Cardanos-Hoskinson-Calls-for-Crypto-Unity-Against-Operation-Chokepoint-20?mtm_campaign=API-OFA,1/12/2024,19:00:00,2.2937,0.999985576,Bearish,0.91952908
"Cardano’s Charles Hoskinson apologizes to rival ecosystems, calls for unity in 2025",Neutral,https://cryptopanic.com/news/20350835/Cardanos-Charles-Hoskinson-apologizes-to-rival-ecosystems-calls-for-unity-in-2025?mtm_campaign=API-OFA,1/12/2024,13:52:43,2.2937,0.999369085,Neutral,0.966327846
XRP Eyes $2 Milestone After Surging 267% in Historic Rally,Positive,https://cryptopanic.com/news/20350046/XRP-Eyes-2-Milestone-After-Surging-267-in-Historic-Rally?mtm_campaign=API-OFA,1/12/2024,6:00:50,2.2937,0.999869108,Bullish,0.610154927
Could XRP hit a $3 trillion market cap? Here’s when it might happen,Neutral,https://cryptopanic.com/news/19547968/Could-XRP-hit-a-3-trillion-market-cap-Heres-when-it-might-happen?mtm_campaign=API-OFA,2/6/2024,13:33:28,0.5135,0.999806225,Neutral,0.570080817
Ripple could sell 400 million XRP in June; Largest dump in 7 years,Neutral,https://cryptopanic.com/news/19547679/Ripple-could-sell-400-million-XRP-in-June-Largest-dump-in-7-years?mtm_campaign=API-OFA,2/6/2024,10:38:40,0.5135,0.999922395,Bearish,0.72907567
"Large-Cap Ethereum Rival Forming a Bullish Pattern That Could See It Surge by up to 63%, Says Crypto Trader",Positive,https://cryptopanic.com/news/19754927/Large-Cap-Ethereum-Rival-Forming-a-Bullish-Pattern-That-Could-See-It-Surge-by-up-to-63-Says-Crypto-Trader?mtm_campaign=API-OFA,2/8/2024,19:55:40,0.5607,1,Bullish,0.638647974
Institutional Demand Drives Confidence for Ripple's XRP,Positive,https://cryptopanic.com/news/20148037/Institutional-Demand-Drives-Confidence-for-Ripples-XRP?mtm_campaign=API-OFA,2/11/2024,16:10:57,0.5103,0.999999642,Neutral,0.52159524
XRP Is Now About To Gain Massive Liquidity,Positive,https://cryptopanic.com/news/20355982/XRP-Is-Now-About-To-Gain-Massive-Liquidity?mtm_campaign=API-OFA,2/12/2024,21:30:09,2.7245,0.999982119,Bullish,0.651547015
"XRP Surges Another 45%, Crushing Recent Bitcoin and Dogecoin Gains",Positive,https://cryptopanic.com/news/20354938/XRP-Surges-Another-45-Crushing-Recent-Bitcoin-and-Dogecoin-Gains?mtm_campaign=API-OFA,2/12/2024,16:13:59,2.7245,1,Bullish,0.566008627
XRP Overtakes Tether to Become World’s #3 Crypto,Positive,https://cryptopanic.com/news/20353025/XRP-Overtakes-Tether-to-Become-Worlds-3-Crypto?mtm_campaign=API-OFA,2/12/2024,8:48:52,2.7245,0.583074868,Bullish,0.61280632
"Ripple’s market cap hits record high of $140B, flips Tether and Solana to become third most valuable crypto asset",Positive,https://cryptopanic.com/news/20351924/Ripples-market-cap-hits-record-high-of-140B-flips-Tether-and-Solana-to-become-third-most-valuable-crypto-asset?mtm_campaign=API-OFA,2/12/2024,2:32:21,2.7245,0.999968886,Neutral,0.859709024
SEC’s XRP Appeal: Ripple’s Legal Fight Heats Up Again,Negative,https://cryptopanic.com/news/19965957/SECs-XRP-Appeal-Ripples-Legal-Fight-Heats-Up-Again?mtm_campaign=API-OFA,3/10/2024,13:02:08,0.5217,0.97454989,Neutral,0.523262262
Ripple XRP’s Price On The Brink Of Unbelievable All-Time Highs As Leak Reveals Mammoth December Bombshell,Neutral,https://cryptopanic.com/news/20358054/Ripple-XRPs-Price-On-The-Brink-Of-Unbelievable-All-Time-Highs-As-Leak-Reveals-Mammoth-December-Bombshell?mtm_campaign=API-OFA,3/12/2024,10:02:05,2.5102,0.999461353,Bullish,0.573006868
"Ripple prepares to sell 200 million XRP in August, worth $110 million",Neutral,https://cryptopanic.com/news/19758013/Ripple-prepares-to-sell-200-million-XRP-in-August-worth-110-million?mtm_campaign=API-OFA,4/8/2024,13:04:59,0.5228,0.999958515,Neutral,0.667964518
Ripple (XRP) IPO in the US? CEO Brad Garlinghouse Weighs In,Negative,https://cryptopanic.com/news/19865796/Ripple-XRP-IPO-in-the-US-CEO-Brad-Garlinghouse-Weighs-In?mtm_campaign=API-OFA,4/9/2024,7:36:27,0.5579,0.99985826,Bullish,0.580399454
Ripple Slams SEC Over Latest Appeal,Neutral,https://cryptopanic.com/news/19969125/Ripple-Slams-SEC-Over-Latest-Appeal?mtm_campaign=API-OFA,4/10/2024,10:00:27,0.534,0.993339121,Bullish,0.563216448
SEC Weighs Solana and XRP ETFs: Altcoin Boom Ahead?,Neutral,https://cryptopanic.com/news/20362778/SEC-Weighs-Solana-and-XRP-ETFs-Altcoin-Boom-Ahead?mtm_campaign=API-OFA,4/12/2024,9:15:42,2.3574,0.668061316,Neutral,0.541801393
SEC Weighs Solana and XRP ETFs: Altcoin Boom Ahead?,Neutral,https://cryptopanic.com/news/20362778/SEC-Weighs-Solana-and-XRP-ETFs-Altcoin-Boom-Ahead?mtm_campaign=API-OFA,4/12/2024,9:15:42,2.3574,0.668061316,Neutral,0.541801393
XRP Lawsuit: SEC Sticks to $2 Billion Fine on Ripple As Pressure On XRP Soars — Is This Your Buy Signal?,Neutral,https://cryptopanic.com/news/19657746/XRP-Lawsuit-SEC-Sticks-to-2-Billion-Fine-on-Ripple-As-Pressure-On-XRP-Soars-Is-This-Your-Buy-Signal?mtm_campaign=API-OFA,5/7/2024,13:47:03,0.4251,0.850437999,Neutral,0.63306886
Ripple Faces Backlash from XRP Developers,Negative,https://cryptopanic.com/news/19760448/Ripple-Faces-Backlash-from-XRP-Developers?mtm_campaign=API-OFA,5/8/2024,10:12:41,0.4889,0.999894261,Bullish,0.592599988
Pro-XRP Lawyer Deaton Wins GOP Nomination to Challenge Warren,Neutral,https://cryptopanic.com/news/19870310/Pro-XRP-Lawyer-Deaton-Wins-GOP-Nomination-to-Challenge-Warren?mtm_campaign=API-OFA,5/9/2024,8:21:15,0.5444,0.987050533,Neutral,0.662299037
Ripple Seeks Delay on $125M Fine in SEC Legal Battle,Neutral,https://cryptopanic.com/news/19874761/Ripple-Seeks-Delay-on-125M-Fine-in-SEC-Legal-Battle?mtm_campaign=API-OFA,6/9/2024,8:58:59,0.5211,0.986261427,Bullish,0.521725953
Could XRP be on the verge of a breakout as open interest surges?,Neutral,https://cryptopanic.com/news/19603617/Could-XRP-be-on-the-verge-of-a-breakout-as-open-interest-surges?mtm_campaign=API-OFA,6/19/2024,18:25:46,0.4933,0.958744407,Bullish,0.65563643
Will XRP shorting activity serve as ‘rocket fuel’ for an explosive rally?,Positive,https://cryptopanic.com/news/19610339/Will-XRP-shorting-activity-serve-as-rocket-fuel-for-an-explosive-rally?mtm_campaign=API-OFA,6/21/2024,14:20:54,0.4889,0.95603776,Bullish,0.56402272
Will XRP shorting activity serve as ‘rocket fuel’ for an explosive rally?,Positive,https://cryptopanic.com/news/19610339/Will-XRP-shorting-activity-serve-as-rocket-fuel-for-an-explosive-rally?mtm_campaign=API-OFA,6/21/2024,14:20:54,2.41,0.95603776,Bullish,0.56402272
XRP Lawsuit: SEC Sticks to $2 Billion Fine on Ripple As Pressure On XRP Soars — Is This Your Buy Signal?,Neutral,https://cryptopanic.com/news/19657746/XRP-Lawsuit-SEC-Sticks-to-2-Billion-Fine-on-Ripple-As-Pressure-On-XRP-Soars-Is-This-Your-Buy-Signal?mtm_campaign=API-OFA,7/5/2024,13:47:03,2.41,0.850437999,Neutral,0.63306886
Ripple joins the fintench big league despite legal battles,Neutral,https://cryptopanic.com/news/19678607/Ripple-joins-the-fintench-big-league-despite-legal-battles?mtm_campaign=API-OFA,7/11/2024,21:34:30,2.41,0.999832273,Neutral,0.920891404
Solana Price Forecast: Can SOL Beat XRP to Secure ETF Approval?,Positive,https://cryptopanic.com/news/19729171/Solana-Price-Forecast-Can-SOL-Beat-XRP-to-Secure-ETF-Approval?mtm_campaign=API-OFA,7/26/2024,14:16:37,0.6034,0.999990106,Neutral,0.581358969
Solana Price Forecast: Can SOL Beat XRP to Secure ETF Approval?,Positive,https://cryptopanic.com/news/19729171/Solana-Price-Forecast-Can-SOL-Beat-XRP-to-Secure-ETF-Approval?mtm_campaign=API-OFA,7/26/2024,14:16:37,2.41,0.999990106,Neutral,0.581358969
"XRP and SOL Retrace Hard, While BTC Price Dropped to 2-Week Lows (Market Watch)",Negative,https://cryptopanic.com/news/19748452/XRP-and-SOL-Retrace-Hard-While-BTC-Price-Dropped-to-2-Week-Lows-Market-Watch?mtm_campaign=API-OFA,8/1/2024,8:43:17,2.41,0.99994278,Neutral,0.569958508
"Large-Cap Ethereum Rival Forming a Bullish Pattern That Could See It Surge by up to 63%, Says Crypto Trader",Positive,https://cryptopanic.com/news/19754927/Large-Cap-Ethereum-Rival-Forming-a-Bullish-Pattern-That-Could-See-It-Surge-by-up-to-63-Says-Crypto-Trader?mtm_campaign=API-OFA,8/2/2024,19:55:40,2.41,1,Bullish,0.638647974
"Ripple prepares to sell 200 million XRP in August, worth $110 million",Neutral,https://cryptopanic.com/news/19758013/Ripple-prepares-to-sell-200-million-XRP-in-August-worth-110-million?mtm_campaign=API-OFA,8/4/2024,13:04:59,2.41,0.999958515,Neutral,0.667964518
Ripple Faces Backlash from XRP Developers,Negative,https://cryptopanic.com/news/19760448/Ripple-Faces-Backlash-from-XRP-Developers?mtm_campaign=API-OFA,8/5/2024,10:12:41,2.41,0.999894261,Bullish,0.592599988
SEC to Appeal Court Ruling in Ripple XRP Case,Neutral,https://cryptopanic.com/news/19776875/SEC-to-Appeal-Court-Ruling-in-Ripple-XRP-Case?mtm_campaign=API-OFA,8/9/2024,8:21:37,2.41,0.915292561,Neutral,0.768500447
Important Ripple (XRP) Update August 29: Details,Neutral,https://cryptopanic.com/news/19846176/Important-Ripple-XRP-Update-August-29-Details?mtm_campaign=API-OFA,8/29/2024,8:37:56,0.5619,0.999394774,Neutral,0.71060735
Important Ripple (XRP) Update August 29: Details,Neutral,https://cryptopanic.com/news/19846176/Important-Ripple-XRP-Update-August-29-Details?mtm_campaign=API-OFA,8/29/2024,8:37:56,2.41,0.999394774,Neutral,0.71060735
Ripple (XRP) IPO in the US? CEO Brad Garlinghouse Weighs In,Negative,https://cryptopanic.com/news/19865796/Ripple-XRP-IPO-in-the-US-CEO-Brad-Garlinghouse-Weighs-In?mtm_campaign=API-OFA,9/4/2024,7:36:27,2.41,0.99985826,Bullish,0.580399454
Pro-XRP Lawyer Deaton Wins GOP Nomination to Challenge Warren,Neutral,https://cryptopanic.com/news/19870310/Pro-XRP-Lawyer-Deaton-Wins-GOP-Nomination-to-Challenge-Warren?mtm_campaign=API-OFA,9/5/2024,8:21:15,2.41,0.987050533,Neutral,0.662299037
Ripple Seeks Delay on $125M Fine in SEC Legal Battle,Neutral,https://cryptopanic.com/news/19874761/Ripple-Seeks-Delay-on-125M-Fine-in-SEC-Legal-Battle?mtm_campaign=API-OFA,9/6/2024,8:58:59,2.41,0.986261427,Bullish,0.521725953
SEC to Appeal Court Ruling in Ripple XRP Case,Neutral,https://cryptopanic.com/news/19776875/SEC-to-Appeal-Court-Ruling-in-Ripple-XRP-Case?mtm_campaign=API-OFA,9/8/2024,8:21:37,0.5805,0.915292561,Neutral,0.768500447
"XRP Taps $0.57 After Grayscale’s Ripple Trust Launch, BTC Shaky at $58K (Market Watch)",Neutral,https://cryptopanic.com/news/19898315/XRP-Taps-057-After-Grayscales-Ripple-Trust-Launch-BTC-Shaky-at-58K-Market-Watch?mtm_campaign=API-OFA,9/13/2024,8:56:59,0.5728,0.9997527,Bullish,0.519568622
"XRP Taps $0.57 After Grayscale’s Ripple Trust Launch, BTC Shaky at $58K (Market Watch)",Neutral,https://cryptopanic.com/news/19898315/XRP-Taps-057-After-Grayscales-Ripple-Trust-Launch-BTC-Shaky-at-58K-Market-Watch?mtm_campaign=API-OFA,9/13/2024,8:56:59,2.41,0.9997527,Bullish,0.519568622
Is Grayscale’s Ripple Trust the Way Toward a Spot XRP ETF in the US?,Neutral,https://cryptopanic.com/news/19901464/Is-Grayscales-Ripple-Trust-the-Way-Toward-a-Spot-XRP-ETF-in-the-US?mtm_campaign=API-OFA,9/14/2024,5:33:00,0.5956,0.994767904,Neutral,0.540072203
Is Grayscale’s Ripple Trust the Way Toward a Spot XRP ETF in the US?,Neutral,https://cryptopanic.com/news/19901464/Is-Grayscales-Ripple-Trust-the-Way-Toward-a-Spot-XRP-ETF-in-the-US?mtm_campaign=API-OFA,9/14/2024,5:33:00,2.41,0.994767904,Neutral,0.540072203
Ripple’s Price Outlook for September: Is XRP the Altcoin to Watch?,Neutral,https://cryptopanic.com/news/19905088/Ripples-Price-Outlook-for-September-Is-XRP-the-Altcoin-to-Watch?mtm_campaign=API-OFA,9/16/2024,5:07:39,0.5866,0.999416947,Bullish,0.576061428
Ripple’s Price Outlook for September: Is XRP the Altcoin to Watch?,Neutral,https://cryptopanic.com/news/19905088/Ripples-Price-Outlook-for-September-Is-XRP-the-Altcoin-to-Watch?mtm_campaign=API-OFA,9/16/2024,5:07:39,2.41,0.999416947,Bullish,0.576061428
Grayscale Predicts Top Altcoins that Can Outperform in Q4 2024,Positive,https://cryptopanic.com/news/19946264/Grayscale-Predicts-Top-Altcoins-that-Can-Outperform-in-Q4-2024?mtm_campaign=API-OFA,9/27/2024,13:15:53,0.5888,0.999999523,Neutral,0.78655225
Grayscale Predicts Top Altcoins that Can Outperform in Q4 2024,Positive,https://cryptopanic.com/news/19946264/Grayscale-Predicts-Top-Altcoins-that-Can-Outperform-in-Q4-2024?mtm_campaign=API-OFA,9/27/2024,13:15:53,2.41,0.999999523,Neutral,0.78655225
SEC’s XRP Appeal: Ripple’s Legal Fight Heats Up Again,Negative,https://cryptopanic.com/news/19965957/SECs-XRP-Appeal-Ripples-Legal-Fight-Heats-Up-Again?mtm_campaign=API-OFA,10/3/2024,13:02:08,2.41,0.97454989,Neutral,0.523262262
Ripple Slams SEC Over Latest Appeal,Neutral,https://cryptopanic.com/news/19969125/Ripple-Slams-SEC-Over-Latest-Appeal?mtm_campaign=API-OFA,10/4/2024,10:00:27,2.41,0.993339121,Bullish,0.563216448
"Joe Biden Is Trying To ‘Kill Crypto’ — Serious Warning Could Spell Chaos For Bitcoin, Ether, ADA, XRP",Neutral,https://cryptopanic.com/news/19476700/Joe-Biden-Is-Trying-To-Kill-Crypto-Serious-Warning-Could-Spell-Chaos-For-Bitcoin-Ether-ADA-XRP?mtm_campaign=API-OFA,10/5/2024,11:20:43,0.5022,0.988764286,Bullish,0.566934526
Ripple CEO Slams SEC for Ignoring Court Ruling on XRP,Neutral,https://cryptopanic.com/news/20000476/Ripple-CEO-Slams-SEC-for-Ignoring-Court-Ruling-on-XRP?mtm_campaign=API-OFA,10/14/2024,7:27:47,0.5483,0.999787986,Bullish,0.564346611
Ripple CEO Slams SEC for Ignoring Court Ruling on XRP,Neutral,https://cryptopanic.com/news/20000476/Ripple-CEO-Slams-SEC-for-Ignoring-Court-Ruling-on-XRP?mtm_campaign=API-OFA,10/14/2024,7:27:47,2.41,0.999787986,Bullish,0.564346611
Institutional Demand Drives Confidence for Ripple's XRP,Positive,https://cryptopanic.com/news/20148037/Institutional-Demand-Drives-Confidence-for-Ripples-XRP?mtm_campaign=API-OFA,11/2/2024,16:10:57,2.41,0.999999642,Neutral,0.52159524
Ripple joins the fintench big league despite legal battles,Neutral,https://cryptopanic.com/news/19678607/Ripple-joins-the-fintench-big-league-despite-legal-battles?mtm_campaign=API-OFA,11/7/2024,21:34:30,0.4491,0.999832273,Neutral,0.920891404
XRP News Today: Ripple’s RLUSD Stablecoin Gets NYDFS Approval,Neutral,https://cryptopanic.com/news/20391062/XRP-News-Today-Ripples-RLUSD-Stablecoin-Gets-NYDFS-Approval?mtm_campaign=API-OFA,11/12/2024,4:15:26,2.3941,0.834398508,Neutral,0.501884937
Canary Capital Files for First Hedera (HBAR) Spot ETF with SEC: Will It Be Approved?,Neutral,https://cryptopanic.com/news/20222172/Canary-Capital-Files-for-First-Hedera-HBAR-Spot-ETF-with-SEC-Will-It-Be-Approved?mtm_campaign=API-OFA,11/12/2024,19:20:06,2.41,0.999983907,Neutral,0.623539984
"Trump Presidency Unlocked $800 Billion for US Crypto, Says Ripple CEO as ADA, SOL, and XRP Eye Golden Era",Neutral,https://cryptopanic.com/news/20255748/Trump-Presidency-Unlocked-800-Billion-for-US-Crypto-Says-Ripple-CEO-as-ADA-SOL-and-XRP-Eye-Golden-Era?mtm_campaign=API-OFA,11/17/2024,8:53:09,1.0543,0.998699546,Neutral,0.644434273
"Trump Presidency Unlocked $800 Billion for US Crypto, Says Ripple CEO as ADA, SOL, and XRP Eye Golden Era",Neutral,https://cryptopanic.com/news/20255748/Trump-Presidency-Unlocked-800-Billion-for-US-Crypto-Says-Ripple-CEO-as-ADA-SOL-and-XRP-Eye-Golden-Era?mtm_campaign=API-OFA,11/17/2024,8:53:09,2.41,0.998699546,Neutral,0.644434273
$100 billion WisdomTree files for XRP ETF via Delaware trust,Neutral,https://cryptopanic.com/news/20317532/100-billion-WisdomTree-files-for-XRP-ETF-via-Delaware-trust?mtm_campaign=API-OFA,11/25/2024,16:39:10,1.4142,0.999999166,Neutral,0.53266412
$100 billion WisdomTree files for XRP ETF via Delaware trust,Neutral,https://cryptopanic.com/news/20317532/100-billion-WisdomTree-files-for-XRP-ETF-via-Delaware-trust?mtm_campaign=API-OFA,11/25/2024,16:39:10,2.41,0.999999166,Neutral,0.53266412
Ripple (XRP) Price Up Over 10% in 24 Hours: Why is it Pumping?,Positive,https://cryptopanic.com/news/20349417/Ripple-XRP-Price-Up-Over-10-in-24-Hours-Why-is-it-Pumping?mtm_campaign=API-OFA,11/30/2024,19:30:00,1.9513,0.787931502,Bullish,0.616449177
Why Xrp Price is Up today? How High Will XRP Go?,Neutral,https://cryptopanic.com/news/20348033/Why-Xrp-Price-is-Up-today-How-High-Will-XRP-Go?mtm_campaign=API-OFA,11/30/2024,8:17:18,1.9513,0.98415935,Bullish,0.680206716
XRP Market Cap Officially Surpasses $100 Billion,Positive,https://cryptopanic.com/news/20347733/XRP-Market-Cap-Officially-Surpasses-100-Billion?mtm_campaign=API-OFA,11/30/2024,4:50:52,1.9513,0.999999166,Bullish,0.573392451
Ripple XRP’s Price On The Brink Of Unbelievable All-Time Highs As Leak Reveals Mammoth December Bombshell,Neutral,https://cryptopanic.com/news/20358054/Ripple-XRPs-Price-On-The-Brink-Of-Unbelievable-All-Time-Highs-As-Leak-Reveals-Mammoth-December-Bombshell?mtm_campaign=API-OFA,12/3/2024,10:02:05,2.41,0.999461353,Bullish,0.573006868
SEC Weighs Solana and XRP ETFs: Altcoin Boom Ahead?,Neutral,https://cryptopanic.com/news/20362778/SEC-Weighs-Solana-and-XRP-ETFs-Altcoin-Boom-Ahead?mtm_campaign=API-OFA,12/4/2024,9:15:42,2.41,0.668061316,Neutral,0.541801393
SEC Weighs Solana and XRP ETFs: Altcoin Boom Ahead?,Neutral,https://cryptopanic.com/news/20362778/SEC-Weighs-Solana-and-XRP-ETFs-Altcoin-Boom-Ahead?mtm_campaign=API-OFA,12/4/2024,9:15:42,2.41,0.668061316,Neutral,0.541801393
Canary Capital Files for First Hedera (HBAR) Spot ETF with SEC: Will It Be Approved?,Neutral,https://cryptopanic.com/news/20222172/Canary-Capital-Files-for-First-Hedera-HBAR-Spot-ETF-with-SEC-Will-It-Be-Approved?mtm_campaign=API-OFA,12/11/2024,19:20:06,0.704,0.999983907,Neutral,0.623539984
XRP News Today: Ripple’s RLUSD Stablecoin Gets NYDFS Approval,Neutral,https://cryptopanic.com/news/20391062/XRP-News-Today-Ripples-RLUSD-Stablecoin-Gets-NYDFS-Approval?mtm_campaign=API-OFA,12/11/2024,4:15:26,2.41,0.834398508,Neutral,0.501884937
Ripple to sell $500 million as XRP struggles in the 4th position by market cap,Negative,https://cryptopanic.com/news/20398759/Ripple-to-sell-500-million-as-XRP-struggles-in-the-4th-position-by-market-cap?mtm_campaign=API-OFA,12/12/2024,14:49:07,2.3384,0.993103504,Neutral,0.54647094
Ripple to sell $500 million as XRP struggles in the 4th position by market cap,Negative,https://cryptopanic.com/news/20398759/Ripple-to-sell-500-million-as-XRP-struggles-in-the-4th-position-by-market-cap?mtm_campaign=API-OFA,12/12/2024,14:49:07,2.3384,0.993103504,Neutral,0.54647094
Ripple to sell $500 million as XRP struggles in the 4th position by market cap,Negative,https://cryptopanic.com/news/20398759/Ripple-to-sell-500-million-as-XRP-struggles-in-the-4th-position-by-market-cap?mtm_campaign=API-OFA,12/12/2024,14:49:07,2.41,0.993103504,Neutral,0.54647094
Ripple to sell $500 million as XRP struggles in the 4th position by market cap,Negative,https://cryptopanic.com/news/20398759/Ripple-to-sell-500-million-as-XRP-struggles-in-the-4th-position-by-market-cap?mtm_campaign=API-OFA,12/12/2024,14:49:07,2.41,0.993103504,Neutral,0.54647094
Cardano founder Charles Hoskinson blasts Wyoming Token Commission boss over ADA and XRP exclusion,Neutral,https://cryptopanic.com/news/20406889/Cardano-founder-Charles-Hoskinson-blasts-Wyoming-Token-Commission-boss-over-ADA-and-XRP-exclusion?mtm_campaign=API-OFA,12/14/2024,14:09:41,2.4005,0.999928474,Neutral,0.652093649
XRP Bounce Back To $2.45: Experts Say It May Never Fall Below $2 Again,Positive,https://cryptopanic.com/news/20406512/XRP-Bounce-Back-To-245-Experts-Say-It-May-Never-Fall-Below-2-Again?mtm_campaign=API-OFA,12/14/2024,11:50:39,2.4005,0.555746377,Neutral,0.552090287
Cardano founder Charles Hoskinson blasts Wyoming Token Commission boss over ADA and XRP exclusion,Neutral,https://cryptopanic.com/news/20406889/Cardano-founder-Charles-Hoskinson-blasts-Wyoming-Token-Commission-boss-over-ADA-and-XRP-exclusion?mtm_campaign=API-OFA,12/14/2024,14:09:41,2.41,0.999928474,Neutral,0.652093649
XRP Bounce Back To $2.45: Experts Say It May Never Fall Below $2 Again,Positive,https://cryptopanic.com/news/20406512/XRP-Bounce-Back-To-245-Experts-Say-It-May-Never-Fall-Below-2-Again?mtm_campaign=API-OFA,12/14/2024,11:50:39,2.41,0.555746377,Neutral,0.552090287
Ripple’s RLUSD Stablecoin to Commence Trading Today,Neutral,https://cryptopanic.com/news/20418989/Ripples-RLUSD-Stablecoin-to-Commence-Trading-Today?mtm_campaign=API-OFA,12/17/2024,18:04:00,2.5673,0.999955654,Bullish,0.643876016
Ripple’s RLUSD Stablecoin to Commence Trading Today,Neutral,https://cryptopanic.com/news/20418989/Ripples-RLUSD-Stablecoin-to-Commence-Trading-Today?mtm_campaign=API-OFA,12/17/2024,18:04:00,2.41,0.999955654,Bullish,0.643876016
Ripple’s CEO Now Highlights XRP’s Potential Across Industries,Positive,https://cryptopanic.com/news/20461649/Ripples-CEO-Now-Highlights-XRPs-Potential-Across-Industries?mtm_campaign=API-OFA,12/22/2024,20:59:59,2.2031,0.995693803,Bullish,0.600845635
Ripple’s CEO Now Highlights XRP’s Potential Across Industries,Positive,https://cryptopanic.com/news/20461649/Ripples-CEO-Now-Highlights-XRPs-Potential-Across-Industries?mtm_campaign=API-OFA,12/22/2024,20:59:59,2.41,0.995693803,Bullish,0.600845635
Ripple's RLUSD Stablecoin Explodes With 106% Growth in Volumes: Details,Positive,https://cryptopanic.com/news/20482034/Ripples-RLUSD-Stablecoin-Explodes-With-106-Growth-in-Volumes-Details?mtm_campaign=API-OFA,12/28/2024,15:15:00,2.1843,0.966659784,Bullish,0.496908337
Ripple's RLUSD Stablecoin Explodes With 106% Growth in Volumes: Details,Positive,https://cryptopanic.com/news/20482034/Ripples-RLUSD-Stablecoin-Explodes-With-106-Growth-in-Volumes-Details?mtm_campaign=API-OFA,12/28/2024,15:15:00,2.1843,0.966659784,Bullish,0.496908337
